,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
518,2021-07-12 08:01,Ranji,The Moments I'm Missing - RANJI vs WHITENO1SE,48330,Ranji:The Moments I'm Missing - RANJI vs WHITENO1SE,0,,
519,2021-07-12 08:05,Martin Garrix,Used To Love (with Dean Lewis),236764,Martin Garrix:Used To Love (with Dean Lewis),0,,
520,2021-07-12 08:15,Sub Urban,Cradles,209829,Sub Urban:Cradles,0,,
521,2021-07-12 08:18,R3HAB,Be Okay (with HRVY),141600,R3HAB:Be Okay (with HRVY),0,,
522,2021-07-12 08:20,MK,One Night (feat. Raphaella),88772,MK:One Night (feat. Raphaella),0,,
523,2021-07-12 08:21,Armin van Buuren,Million Voices,76060,Armin van Buuren:Million Voices,0,,
524,2021-07-12 17:32,Taylor Swift,cardigan,720,Taylor Swift:cardigan,0,,
525,2021-07-13 11:49,Taylor Swift,cardigan,1150,Taylor Swift:cardigan,0,,
526,2021-07-14 13:34,Taylor Swift,cardigan,230860,Taylor Swift:cardigan,0,,
527,2021-07-14 13:36,Kwik Brain with Jim Kwik,238: How to Win the Next Six Months,109200,Kwik Brain with Jim Kwik:238: How to Win the Next Six Months,0,,
528,2021-07-20 09:30,Kwik Brain with Jim Kwik,238: How to Win the Next Six Months,866298,Kwik Brain with Jim Kwik:238: How to Win the Next Six Months,0,,
529,2021-07-20 09:33,Alan Walker,Sweet Dreams,138819,Alan Walker:Sweet Dreams,1,Sweet Dreams,4uDhts78RdwIDjEqPrYVKp
530,2021-07-20 09:36,Serhat Durmus,Hislerim,214204,Serhat Durmus:Hislerim,1,Hislerim,32Mh7kOCWmNTZgre0cGvCV
531,2021-07-20 09:37,Selena Gomez,Lose You To Love Me,38736,Selena Gomez:Lose You To Love Me,1,Rare,4l0Mvzj72xxOpRrp6h8nHi
532,2021-07-20 09:37,Maroon 5,Animals,3270,Maroon 5:Animals,1,V,3h4T9Bg8OVSUYa6danHeH5
533,2021-07-20 09:40,Imagine Dragons,Radioactive,186813,Imagine Dragons:Radioactive,1,Night Visions,62yJjFtgkhUrXktIoSjgP2
534,2021-07-20 09:43,Imagine Dragons,Bad Liar – Stripped,174816,Imagine Dragons:Bad Liar – Stripped,1,Bad Liar – Stripped,6hFi0gXP8KItwMqfBgf44b
535,2021-07-20 09:43,Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version,3080,Maroon 5:Girls Like You (feat. Cardi B) - Cardi B Version,1,Red Pill Blues,7fa9MBXhVfQ8P8Df9OEbD8
536,2021-07-20 09:43,Surf Mesa,ily (i love you baby) (feat. Emilee),2310,Surf Mesa:ily (i love you baby) (feat. Emilee),1,ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS
537,2021-07-20 09:43,Imagine Dragons,Believer,1880,Imagine Dragons:Believer,1,Evolve,0pqnGHJpmpxLKifKRmU6WP
538,2021-07-20 09:44,Halsey,Without Me,44160,Halsey:Without Me,1,Without Me,5p7ujcrUXASCNwRaWNHR1C
539,2021-07-20 09:49,Alan Walker,"Alone, Pt. II",179052,"Alan Walker:Alone, Pt. II",1,"Alone, Pt. II",0bMbDctzMmTyK2j74j3nF3
540,2021-07-20 09:52,Imagine Dragons,Radioactive,186813,Imagine Dragons:Radioactive,1,Night Visions,62yJjFtgkhUrXktIoSjgP2
541,2021-07-20 09:52,Imagine Dragons,Bad Liar,11084,Imagine Dragons:Bad Liar,1,Origins,2RSHsoi04658QL5xgQVov3
542,2021-07-20 09:53,Imagine Dragons,Thunder,1310,Imagine Dragons:Thunder,1,Evolve,1zB4vmk8tFRmM9UULNzbLB
543,2021-07-20 09:57,Taylor Swift,Blank Space,231826,Taylor Swift:Blank Space,0,,
544,2021-07-20 10:00,Conan Gray,Crush Culture,204120,Conan Gray:Crush Culture,0,,
545,2021-07-20 10:03,Ricky Montgomery,Mr Loverman,178943,Ricky Montgomery:Mr Loverman,0,,
546,2021-07-20 10:06,Camila Cabello,Liar,6636,Camila Cabello:Liar,0,,
547,2021-07-20 10:06,HRVY,Told You So,177013,HRVY:Told You So,0,,
548,2021-07-21 16:30,Camila Cabello,Liar,200657,Camila Cabello:Liar,0,,
549,2021-07-21 16:30,Taylor Swift,The Story Of Us,4112,Taylor Swift:The Story Of Us,0,,
550,2021-07-21 16:34,Mattybraps,Monsters,176400,Mattybraps:Monsters,0,,
551,2021-07-21 16:37,Sam Feldt,Stronger (feat. Kesha),173714,Sam Feldt:Stronger (feat. Kesha),0,,
552,2021-07-21 16:40,HRVY,Good Vibes,170280,HRVY:Good Vibes,0,,
553,2021-07-21 16:43,Halsey,Without Me,201660,Halsey:Without Me,1,Without Me,5p7ujcrUXASCNwRaWNHR1C
554,2021-07-21 16:45,Lady Gaga,Music To My Eyes,22220,Lady Gaga:Music To My Eyes,0,,
555,2021-07-21 16:45,SHAED,Trampoline (with ZAYN),107060,SHAED:Trampoline (with ZAYN),0,,
556,2021-07-21 16:45,Taylor Swift,You Belong With Me (Taylor’s Version),11200,Taylor Swift:You Belong With Me (Taylor’s Version),0,,
557,2021-07-21 16:46,One Direction,They Don't Know About Us,56220,One Direction:They Don't Know About Us,0,,
558,2021-07-21 16:46,Conan Gray,Maniac,6220,Conan Gray:Maniac,0,,
559,2021-07-21 16:49,Bebe Rexha,Die For a Man (feat. Lil Uzi Vert),167179,Bebe Rexha:Die For a Man (feat. Lil Uzi Vert),0,,
560,2021-07-21 16:50,Billie Eilish,bellyache,32330,Billie Eilish:bellyache,0,,
561,2021-07-21 16:53,Camila Cabello,Crying in the Club,216391,Camila Cabello:Crying in the Club,0,,
562,2021-07-21 16:55,Au/Ra,Dead Girl! (Shake My Head),32126,Au/Ra:Dead Girl! (Shake My Head),0,,
563,2021-07-21 16:58,Ruel,Painkiller,213506,Ruel:Painkiller,0,,
564,2021-07-21 16:59,Topic,Chain My Heart,44563,Topic:Chain My Heart,0,,
565,2021-07-21 17:02,Selena Gomez,Lose You To Love Me,206458,Selena Gomez:Lose You To Love Me,1,Rare,4l0Mvzj72xxOpRrp6h8nHi
566,2021-07-21 17:06,Taylor Swift,Shake It Off,219200,Taylor Swift:Shake It Off,0,,
567,2021-07-21 17:09,NERVO,Gotta Be You,149032,NERVO:Gotta Be You,0,,
568,2021-07-21 17:11,Alec Benjamin,Let Me Down Slowly,150927,Alec Benjamin:Let Me Down Slowly,0,,
569,2021-07-21 17:15,Ellie Goulding,Love Me Like You Do,253520,Ellie Goulding:Love Me Like You Do,0,,
570,2021-07-21 17:19,5 Seconds of Summer,Teeth,154011,5 Seconds of Summer:Teeth,0,,
571,2021-07-21 17:22,Sabrina Carpenter,Skin,177500,Sabrina Carpenter:Skin,0,,
572,2021-07-21 17:25,Johnny Orlando,What If (I Told You I Like You),162500,Johnny Orlando:What If (I Told You I Like You),0,,
573,2021-07-21 17:27,OneRepublic,Rescue Me,4650,OneRepublic:Rescue Me,0,,
574,2021-07-21 17:27,James Arthur,Rewrite The Stars (with James Arthur & Anne-Marie),134990,James Arthur:Rewrite The Stars (with James Arthur & Anne-Marie),0,,
575,2021-07-21 17:30,Bebe Rexha,Girl in the Mirror,158066,Bebe Rexha:Girl in the Mirror,0,,
576,2021-07-21 17:30,5 Seconds of Summer,Ghost Of You,31223,5 Seconds of Summer:Ghost Of You,0,,
577,2021-07-24 08:14,5 Seconds of Summer,Ghost Of You,2140,5 Seconds of Summer:Ghost Of You,0,,
578,2021-07-24 08:15,Serhat Durmus,Hislerim,0,Serhat Durmus:Hislerim,1,Hislerim,32Mh7kOCWmNTZgre0cGvCV
579,2021-07-24 08:15,Maroon 5,Animals,2430,Maroon 5:Animals,1,V,3h4T9Bg8OVSUYa6danHeH5
580,2021-07-24 08:19,Serhat Durmus,Hislerim,214204,Serhat Durmus:Hislerim,1,Hislerim,32Mh7kOCWmNTZgre0cGvCV
581,2021-07-24 08:22,Selena Gomez,Lose You To Love Me,206458,Selena Gomez:Lose You To Love Me,1,Rare,4l0Mvzj72xxOpRrp6h8nHi
582,2021-07-24 08:22,Maroon 5,Animals,4530,Maroon 5:Animals,1,V,3h4T9Bg8OVSUYa6danHeH5
583,2021-07-24 08:26,Imagine Dragons,Radioactive,186813,Imagine Dragons:Radioactive,1,Night Visions,62yJjFtgkhUrXktIoSjgP2
584,2021-07-24 08:26,Imagine Dragons,Bad Liar – Stripped,9276,Imagine Dragons:Bad Liar – Stripped,1,Bad Liar – Stripped,6hFi0gXP8KItwMqfBgf44b
585,2021-07-24 08:26,Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version,26240,Maroon 5:Girls Like You (feat. Cardi B) - Cardi B Version,1,Red Pill Blues,7fa9MBXhVfQ8P8Df9OEbD8
586,2021-07-24 08:26,Surf Mesa,ily (i love you baby) (feat. Emilee),3640,Surf Mesa:ily (i love you baby) (feat. Emilee),1,ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS
587,2021-07-24 08:27,Halsey,Without Me,2350,Halsey:Without Me,1,Without Me,5p7ujcrUXASCNwRaWNHR1C
588,2021-07-24 08:27,Alan Walker,"Alone, Pt. II",810,"Alan Walker:Alone, Pt. II",1,"Alone, Pt. II",0bMbDctzMmTyK2j74j3nF3
589,2021-07-24 08:27,Imagine Dragons,Believer,7020,Imagine Dragons:Believer,1,Evolve,0pqnGHJpmpxLKifKRmU6WP
590,2021-07-24 08:30,Imagine Dragons,Radioactive,186813,Imagine Dragons:Radioactive,1,Night Visions,62yJjFtgkhUrXktIoSjgP2
591,2021-07-24 08:59,Imagine Dragons,Bad Liar,188376,Imagine Dragons:Bad Liar,1,Origins,2RSHsoi04658QL5xgQVov3
